comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
GOBIERNO REGIONAL DE UCAYALI SEDE CENTRAL,UCAYALI,44,1,2.27,192664412.0,True
GOBIERNO REGIONAL DE SAN MARTIN Sede Central,SAN MARTIN,48,1,2.08,43897904.0,True
MINISTERIO PUBLICO - CARPETA FISCAL ELECTRONICA,LIMA,48,1,2.08,2728280.0,True
GOBIERNO REGIONAL DE JUNIN SEDE CENTRAL,JUNIN,64,1,1.56,423649364.0,True
GOBIERNO REGIONAL DE MADRE DE DIOS SEDE CENTRAL,MADRE DE DIOS,78,1,1.28,17180728.0,True
GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,CUSCO,131,1,0.76,52798776.0,True
MUNICIPALIDAD DISTRITAL DE SAN MARCOS,ANCASH,162,1,0.62,127082843.0,True
GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,PUNO,200,0,0.0,137745870.0,True
GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL,APURIMAC,76,0,0.0,23062494.0,True
GOBIERNO REGIONAL DE LIMA SEDE CENTRAL,LIMA,70,0,0.0,41334929.0,True
MUNICIPALIDAD PROVINCIAL DEL CUSCO,CUSCO,60,0,0.0,10400996.0,True
MUNICIPALIDAD DISTRITAL DE NUEVO CHIMBOTE,ANCASH,59,0,0.0,52949561.0,True
MUNICIPALIDAD PROVINCIAL DE COTABAMBAS - TAMBOBAMBA,APURIMAC,52,0,0.0,8777777.0,True
MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,51,0,0.0,11543254.0,True
MUNICIPALIDAD DISTRITAL DE PICHARI,CUSCO,47,0,0.0,6834781.0,True
MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,APURIMAC,39,0,0.0,6942702.0,True
MUNICIPALIDAD PROVINCIAL DEL ALTO AMAZONAS - YURIMAGUAS,LORETO,39,0,0.0,19670266.0,True
GOBIERNO REGIONAL DE APURIMAC-CHANKA,APURIMAC,37,0,0.0,9692579.0,True
GOBIERNO REGIONAL DE AREQUIPA Sede Central,AREQUIPA,35,0,0.0,9757782.0,True
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,PUNO,32,0,0.0,8662426.0,True
