ccpp_id,departamento,distrito,poblacion,peso_muestral,ipress_mas_cercana_pie,t_pie_seg,dist_pie_m,t_pie_min,alcanzable_pie,snap_colapsado_pie
CP006489,AYACUCHO,PAUSA,1788.123649597168,1788.123649597168,00003701,166.5,231.4,2.775,True,False
CP006517,AYACUCHO,COLTA,0.0,0.0,00003692,262.6,364.6,4.376666666666667,True,False
CP006527,AYACUCHO,CORCULLA,199.33638954162598,199.33638954162598,00003698,173.9,241.5,2.8983333333333334,True,False
CP006541,AYACUCHO,LAMPA,435.5044593811035,435.5044593811035,00003693,213.1,296.0,3.5516666666666667,True,False
CP006551,AYACUCHO,LAMPA,2009.2677841186523,2009.2677841186523,00003694,425.0,590.5,7.083333333333333,True,False
CP006554,AYACUCHO,MARCABAMBA,289.3314971923828,289.3314971923828,00003696,127.7,177.1,2.1283333333333334,True,False
CP006569,AYACUCHO,OYOLO,650.4058494567871,650.4058494567871,00003699,424.7,590.0,7.078333333333333,True,False
CP006600,AYACUCHO,PARARCA,635.5152435302734,635.5152435302734,00003705,1.3,1.8,0.021666666666666667,True,False
CP006608,AYACUCHO,SAN JAVIER DE ALPABAMBA,0.0,0.0,00003697,2833.8,3934.9,47.230000000000004,True,False
CP006625,AYACUCHO,SAN JOSE DE USHUA,157.10912227630615,157.10912227630615,00003700,105.4,146.5,1.7566666666666668,True,False
CP006635,AYACUCHO,SARA SARA,706.0265808105469,706.0265808105469,00003706,98.4,136.6,1.6400000000000001,True,False
CP006816,AYACUCHO,CORACORA,2135.1638612747192,2135.1638612747192,00006839,1414.4,1964.4,23.573333333333334,True,False
CP006882,AYACUCHO,PULLO,965.7690277099609,1054.3838341787828,00003729,25.6,35.4,0.4266666666666667,True,False
CP006914,AYACUCHO,SIVIA,2585.1817588806152,2585.1817588806152,00003770,810.0,1125.0,13.5,True,False
CP006918,AYACUCHO,LLOCHEGUA,775.9785118103027,775.9785118103027,00034687,152.8,212.2,2.546666666666667,True,False
CP006921,AYACUCHO,CANAYRE,1398.3269844055176,1398.3269844055176,00029693,37.7,52.3,0.6283333333333334,True,False
CP006922,AYACUCHO,CANAYRE,3102.0760192871094,3102.0760192871094,00003771,373.2,518.4,6.22,True,False
CP006927,AYACUCHO,LLOCHEGUA,3066.8718223571777,3066.8718223571777,00003772,230.3,319.7,3.8383333333333334,True,False
CP009664,AYACUCHO,SAN JUAN BAUTISTA,2237.122127532959,2237.122127532959,00011354,318.4,442.2,5.306666666666667,True,False
CP009678,AYACUCHO,ORONCCOY,2379.863212585449,2379.863212585449,00003786,6359.4,8833.2,105.99,True,False
CP009693,AYACUCHO,SAN JUAN BAUTISTA,2687.344581604004,2687.344581604004,00033499,139.4,193.4,2.3233333333333333,True,False
CP009724,AYACUCHO,JESUS NAZARENO,3862.0667266845703,3862.0667266845703,00038754,159.6,221.8,2.6599999999999997,True,False
CP009733,AYACUCHO,AYACUCHO,20014.127109527588,20014.127109527588,00036552,590.2,819.7,9.836666666666668,True,False
CP009865,AYACUCHO,HUANTA,4676.114814758301,4676.114814758301,00003659,295.3,410.2,4.921666666666667,True,False
CP009876,AYACUCHO,HUANTA,3056.6756019592285,3056.6756019592285,00003658,737.0,1023.5,12.283333333333333,True,False
CP010077,AYACUCHO,CANAYRE,2581.9355506896973,2581.9355506896973,00003771,96.1,133.6,1.6016666666666666,True,False
CP010087,LAMBAYEQUE,LAGUNAS,349.74908924102783,349.74908924102783,00004362,206.9,287.3,3.4483333333333333,True,False
CP010093,LAMBAYEQUE,CHICLAYO,203033.19521522522,203033.19521522522,00029438,58.8,81.6,0.98,True,False
CP010094,LAMBAYEQUE,CHICLAYO,463.33668518066406,463.33668518066406,00027515,2787.5,3871.5,46.458333333333336,True,False
CP010095,LAMBAYEQUE,CHONGOYAPE,2438.0437393188477,2438.0437393188477,00004325,114.7,159.3,1.9116666666666666,True,False
CP010121,LAMBAYEQUE,CHONGOYAPE,109.73489093780518,109.73489093780518,00004326,14456.8,20079.2,240.94666666666666,True,False
CP010132,LAMBAYEQUE,CHONGOYAPE,1936.6044311523438,1936.6044311523438,00007023,13926.1,15920.3,232.10166666666666,True,False
CP010138,LAMBAYEQUE,CHONGOYAPE,2600.010922431946,2600.010922431946,00004326,502.7,698.0,8.378333333333334,True,False
CP010139,LAMBAYEQUE,ETEN,5413.342206954956,5413.342206954956,00004353,553.6,769.1,9.226666666666667,True,False
CP010141,LAMBAYEQUE,ETEN,2057.464557647705,2057.464557647705,00004353,1950.9,2709.4,32.515,True,False
CP010146,LAMBAYEQUE,ETEN PUERTO,1876.0244760513306,1876.0244760513306,00004354,204.5,284.0,3.408333333333333,True,False
CP010147,LAMBAYEQUE,JOSE LEONARDO ORTIZ,41121.46096038818,41121.46096038818,00008831,207.3,287.7,3.455,True,False
CP010149,LAMBAYEQUE,JOSE LEONARDO ORTIZ,33462.027643203735,33462.027643203735,00004334,1342.9,1864.7,22.381666666666668,True,False
CP010150,LAMBAYEQUE,LA VICTORIA,52036.54165649414,52036.54165649414,00031994,156.8,212.4,2.6133333333333337,True,False
CP010164,LAMBAYEQUE,LAGUNAS,1743.7179527282715,1743.7179527282715,00004359,81.0,112.3,1.35,True,False
CP010170,LAMBAYEQUE,LAGUNAS,2778.389645576477,2778.389645576477,00004360,524.8,728.9,8.746666666666666,True,False
CP010174,LAMBAYEQUE,MONSEFU,7336.94171333313,7336.94171333313,00030951,225.6,313.2,3.76,True,False
CP010182,LAMBAYEQUE,MONSEFU,2731.005027770996,2731.005027770996,00004351,330.0,458.3,5.5,True,False
CP010215,LAMBAYEQUE,NUEVA ARICA,1111.999773979187,1111.999773979187,00004364,179.3,248.9,2.9883333333333337,True,False
CP010222,LAMBAYEQUE,OYOTUN,3345.2154750823975,3396.352539351987,00008892,27.2,37.9,0.4533333333333333,True,False
CP010253,LAMBAYEQUE,PICSI,5919.496282577515,5919.496282577515,00004439,173.2,240.5,2.8866666666666663,True,False
CP010258,LAMBAYEQUE,PICSI,769.5454034805298,769.5454034805298,00006954,51.2,71.4,0.8533333333333334,True,False
CP010263,LAMBAYEQUE,PIMENTEL,3903.745599746704,3903.745599746704,00004338,589.7,819.1,9.828333333333335,True,False
CP010265,LAMBAYEQUE,PIMENTEL,12395.308910369873,12395.308910369873,00038860,429.7,596.8,7.161666666666666,True,False
CP010270,LAMBAYEQUE,PIMENTEL,935.3232688903809,935.3232688903809,00011020,530.9,737.3,8.848333333333333,True,False
CP010271,LAMBAYEQUE,PIMENTEL,2596.118232727051,2596.118232727051,00025885,67.4,93.7,1.1233333333333335,True,False
CP010278,LAMBAYEQUE,PIMENTEL,3411.861804962158,3411.861804962158,00011020,341.8,474.7,5.696666666666667,True,False
CP010279,LAMBAYEQUE,PIMENTEL,1541.6885662078857,1541.6885662078857,00031984,367.1,509.7,6.118333333333334,True,False
CP010290,LAMBAYEQUE,PIMENTEL,2380.3386907577515,2380.3386907577515,00035228,1041.2,1446.1,17.353333333333335,True,False
CP010307,LAMBAYEQUE,REQUE,4965.145576477051,4965.145576477051,00038395,1190.2,1652.9,19.836666666666666,True,False
CP010310,LAMBAYEQUE,REQUE,0.0,0.0,00004344,93.1,129.3,1.5516666666666665,True,False
CP010312,LAMBAYEQUE,SANTA ROSA,9389.39815235138,9389.39815235138,00004355,239.4,332.5,3.99,True,False
CP010315,LAMBAYEQUE,SAÑA,1602.1314601898193,1602.1314601898193,00004356,56.9,79.1,0.9483333333333334,True,False
CP010316,LAMBAYEQUE,SAÑA,2776.0034914016724,2776.0034914016724,00017874,150.0,208.3,2.5,True,False
CP010319,LAMBAYEQUE,SAÑA,2389.6079635620117,2389.6079635620117,00006997,1781.0,2473.9,29.683333333333334,True,False
CP010341,LAMBAYEQUE,CAYALTI,6329.463043212891,6329.463043212891,00011841,153.6,213.7,2.56,True,False
CP010362,LAMBAYEQUE,PATAPO,3552.783182144165,3552.783182144165,00016699,189.7,263.3,3.1616666666666666,True,False
CP010368,LAMBAYEQUE,PATAPO,2155.878252029419,2155.878252029419,00016699,903.7,1255.0,15.061666666666667,True,False
CP010379,LAMBAYEQUE,POMALCA,12495.865522384644,12495.865522384644,00007107,349.0,484.6,5.816666666666666,True,False
CP010383,LAMBAYEQUE,POMALCA,4689.002814292908,4689.002814292908,00007107,1440.2,1999.8,24.003333333333334,True,False
CP010387,LAMBAYEQUE,POMALCA,3382.7641105651855,3382.7641105651855,00004340,291.5,404.8,4.858333333333333,True,False
CP010392,LAMBAYEQUE,CHICLAYO,4445.530874252319,4445.530874252319,00004339,384.4,533.8,6.406666666666666,True,False
CP010396,LAMBAYEQUE,PUCALA,4638.035634994507,4638.035634994507,00006997,250.7,348.3,4.178333333333333,True,False
CP010412,LAMBAYEQUE,TUMAN,10266.206485748291,10266.206485748291,00007322,145.4,202.1,2.4233333333333333,True,False
CP010432,LAMBAYEQUE,FERREÑAFE,20263.238304138184,20263.238304138184,00038084,247.7,343.9,4.128333333333333,True,False
CP010446,LAMBAYEQUE,FERREÑAFE,2779.870952606201,2779.870952606201,00038084,689.9,958.5,11.498333333333333,True,False
CP010453,LAMBAYEQUE,MANUEL ANTONIO MESONES MURO,1379.7931823730469,1379.7931823730469,00004443,259.9,361.0,4.331666666666666,True,False
CP010484,LAMBAYEQUE,PITIPO,968.7522487640381,968.7522487640381,00004444,105.8,146.7,1.7633333333333332,True,False
CP010485,LAMBAYEQUE,PITIPO,2921.820556640625,2921.820556640625,00004448,261.5,363.3,4.358333333333333,True,False
CP010498,LAMBAYEQUE,PUEBLO NUEVO,9726.75213432312,9726.75213432312,00036343,313.5,435.7,5.225,True,False
CP010505,LAMBAYEQUE,PUEBLO NUEVO,0.0,0.0,00035654,1805.0,2507.1,30.083333333333332,True,False
CP010509,LAMBAYEQUE,LAMBAYEQUE,28587.11128807068,28587.11128807068,00030583,226.0,313.9,3.7666666666666666,True,False
CP010526,LAMBAYEQUE,LAMBAYEQUE,6477.452304840088,6477.452304840088,00004375,3779.5,5249.2,62.99166666666667,True,False
CP010533,LAMBAYEQUE,LAMBAYEQUE,5257.66877746582,5257.66877746582,00030583,1240.8,1723.4,20.68,True,False
