cod_ipress,nombre,categoria,institucion,departamento,provincia,distrito,lon,lat
00000268,C.S. I-3 ULLPAYACU,I-3,GOBIERNO REGIONAL,LORETO,DATEM DEL MARAÑON,PASTAZA,-76.58828333,-4.65086
00027540,CENTRO DE SALUD MENTAL COMUNITARIO - YURIMAGUAS,I-3,GOBIERNO REGIONAL,LORETO,ALTO AMAZONAS,YURIMAGUAS,-76.1129048,-5.9007717
00027923,CENTRO MÉDICO ESPECIALIZADO SALUD MADRE & MUJER,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8591447,-6.7694879
00012241,AGUSTIN GAVIDIA SALCEDO,I-3,ESSALUD,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-79.9018066,-6.7035516
00026966,WISAR SALUD,I-3,PRIVADO,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.27252945,-3.76513376
00015817,DPI DR. ROSAS,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8356603,-6.780387
00026918,"CENTRO DE SALUD MENTAL COMUNITARIO ""UYARINA WASI""",I-3,GOBIERNO REGIONAL,AYACUCHO,LA MAR,AYNA,-73.78731591,-12.62452885
00026949,EPSS DEL PILAR,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2260977,-13.150905
00026526,CENTRO MEDICO APURIMAC SAC,I-3,PRIVADO,AYACUCHO,HUAMANGA,JESUS NAZARENO,-74.21793182,-13.15584394
00000104,CENTRO DE SALUD I-3 12 DE OCTUBRE,I-3,GOBIERNO REGIONAL,LORETO,LORETO,TIGRE,-75.80234,-2.38769
00027186,GASTROMEDIC,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22481391,-13.15261373
00015406,CENTRO MEDICO INTELIGENCIA EMOCIONAL E.I.R.L.,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.83498367,-6.76521351
00000025,SAN JUAN DE MIRAFLORES,I-4,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.28321537,-3.77432588
00027974,centro medico rehabilitación física y oral ángel,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22628376,-13.15422006
00028588,CENTRO ODONTOLOGICO DENTILOR,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.24783593,-3.75427232
00027598,CENTRO DE SALUD MENTAL COMUNITARIO IQUITOS,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS,-73.2448763,-3.74257305
00011379,CENTRO MEDICO 18 DE OCTUBRE S.C.R.L.,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.25165154,-3.74801615
00027809,ESTABLECIMIENTO DE SALUD AMÉRICA S.A.C.,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.85892282,-6.77222259
00000191,C.S. I-3 JEBEROS,I-3,GOBIERNO REGIONAL,LORETO,ALTO AMAZONAS,JEBEROS,-76.28408123,-5.29104902
00029564,LIDER MEDICA,I-4,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8442977,-6.7765974
00026052,CENTRO DE SALUD COMUNITARIO UKA YAKI TSA WA,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.27955746,-3.77116231
00017317,POLICLINICO ASOCIACION BENEFICA PRISMA,I-3,PRIVADO,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.33787151,-3.78612303
00026654,POLICLINICO CANAAN SRL,I-3,PRIVADO,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,-74.1990315,-13.1670004
00000113,CENTRO DE SALUD I-3 PEVAS,I-3,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS,-71.86058167,-3.31967333
00027973,CENTRO MÉDICO SEÑAL DE VIDA,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2235641,-13.1638737
00000004,C.S. I-3 SANTA MARIA DE NANAY,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,ALTO NANAY,-73.69678536,-3.88899772
00014386,MULTISERVICIOS SOLIDARIDAD REQUENINA SAC,I-3,PRIVADO,LORETO,REQUENA,REQUENA,-73.85579563,-5.0622135
00028351,"CENTRO ODONTOLOGICO ""DENTAL PACIFICO""",I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.22808899,-13.14816365
00000132,CENTRO DE SALUD I-3 FLOR DE PUNGA,I-3,GOBIERNO REGIONAL,LORETO,REQUENA,CAPELO,-74.15770233,-5.4046023
