departamento,provincia,distrito,ubigeo,nivel,puntos,poblacion,poblacion_con_acceso_vial,pct_sin_acceso_vial,t_medio_pond_min,t_p50_pond_min,t_p90_pond_min
AYACUCHO,HUAMANGA,TAMBILLO,050113,distrito,20,5687,5687,0.0,14.8,12.5,22.7
LAMBAYEQUE,CHICLAYO,ETEN,140103,distrito,10,9070,9070,0.0,14.8,14.2,18.1
LAMBAYEQUE,CHICLAYO,REQUE,140113,distrito,25,15425,15425,0.0,13.8,13.5,16.6
LORETO,ALTO AMAZONAS,YURIMAGUAS,160201,distrito,130,69110,53888,22.03,13.5,3.2,37.4
LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,140311,distrito,19,17772,17772,0.0,13.3,14.2,15.1
AYACUCHO,LA MAR,NINABAMBA,050514,distrito,10,196,196,0.0,13.3,13.3,13.3
AYACUCHO,HUANTA,SIVIA,050407,distrito,36,14943,14943,0.0,12.7,2.6,36.1
LAMBAYEQUE,CHICLAYO,PICSI,140111,distrito,20,9280,9280,0.0,12.5,12.8,14.1
AYACUCHO,PARINACOCHAS,CORACORA,050701,distrito,40,16982,16982,0.0,12.0,4.0,46.3
LAMBAYEQUE,CHICLAYO,MONSEFU,140108,distrito,56,29836,29836,0.0,11.5,11.1,13.4
AYACUCHO,LA MAR,AYNA,050503,distrito,29,11124,11124,0.0,11.1,2.8,46.3
AYACUCHO,LUCANAS,PUQUIO,050601,distrito,35,14610,13375,8.45,10.7,3.4,23.5
LAMBAYEQUE,CHICLAYO,POMALCA,140118,distrito,21,25768,25768,0.0,10.0,9.3,12.7
AYACUCHO,CANGALLO,CANGALLO,050201,distrito,21,6390,6390,0.0,8.8,7.7,21.9
AYACUCHO,LA MAR,PATIBAMBA,050515,distrito,11,694,694,0.0,8.5,8.2,10.2
LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,distrito,49,47708,47708,0.0,6.6,4.5,14.5
AYACUCHO,HUAMANGA,CARMEN ALTO,050104,distrito,12,31499,31499,0.0,5.8,5.3,9.6
AYACUCHO,HUAMANGA,AYACUCHO,050101,distrito,45,80228,80228,0.0,5.4,4.2,7.9
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,distrito,8,196825,196825,0.0,5.2,6.4,8.1
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,distrito,75,79545,79545,0.0,4.5,3.5,8.4
AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,distrito,12,19577,19577,0.0,4.1,3.8,6.2
LORETO,MAYNAS,BELEN,160112,distrito,23,7581,7581,0.0,4.1,4.3,5.0
LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,distrito,35,89076,89076,0.0,4.1,3.1,6.9
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110,distrito,15,46983,46983,0.0,3.6,3.3,3.9
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,050116,distrito,14,35365,35365,0.0,3.5,3.2,8.0
AYACUCHO,HUANTA,HUANTA,050401,distrito,86,55544,55544,0.0,3.5,2.8,4.2
LORETO,MAYNAS,PUNCHANA,160108,distrito,33,13164,12844,2.43,3.4,2.3,10.6
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,160211,distrito,22,6912,753,89.1,3.2,3.2,3.2
AYACUCHO,LA MAR,SAN MIGUEL,050501,distrito,29,10875,10875,0.0,2.8,3.0,4.8
LORETO,MAYNAS,IQUITOS,160101,distrito,19,23916,23688,0.95,2.8,2.8,4.3
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,distrito,9,273361,273361,0.0,2.5,2.2,5.0
LORETO,MAYNAS,INDIANA,160104,distrito,28,10201,9450,7.36,1.3,1.3,10.8
LORETO,MAYNAS,MAZAN,160106,distrito,34,13623,12528,8.04,0.0,0.0,0.0
LORETO,MAYNAS,NAPO,160107,distrito,39,16568,10255,38.1,0.0,0.0,0.0
LORETO,UCAYALI,CONTAMANA,160601,distrito,59,28267,27578,2.44,0.0,0.0,0.0
